שם הספר,שנת הדפסה,מחבר,מקום הדפסה,קטגורייה,מקור,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,שם הספר [אנגלית],קטגורייה [אנגלית],מחבר [אנגלית],מקום הדפסה [אנגלית],underwentBerelUnflagging,fileName
"מהר""ם שיק אבן העזר",1884,רבי משה שיק,לעמבערג,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/maharamshikevenhaezer/maharamshikevenhaezer__text_files.zip,https://files.dicta.org.il/maharamshikevenhaezer/maharamshikevenhaezer__nikud_meteg_files.zip,https://files.dicta.org.il/maharamshikevenhaezer/maharamshikevenhaezer__ocr_data_html_files.zip,maharamshikevenhaezer_EGT,Maharam Shik Even Haezer,Responsa,rabbi Moshe Schick,Lamberg,,maharamshikevenhaezer
"מהר""ם שיק אורח חיים",1880,רבי משה שיק,מונקטש,"שו""ת",,https://files.dicta.org.il/maharamshikorachchaim/maharamshikorachchaim__text_files.zip,https://files.dicta.org.il/maharamshikorachchaim/maharamshikorachchaim__nikud_meteg_files.zip,https://files.dicta.org.il/maharamshikorachchaim/maharamshikorachchaim__ocr_data_html_files.zip,maharamshikorachchaim,Maharam Shik Orach Chaim,Responsa,rabbi Moshe Schick,Munkatch,,maharamshikorachchaim
"מהר""ם שיק יורה דעה",1880,רבי משה שיק,מונקטש,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/maharamshikyorehdeah/maharamshikyorehdeah__text_files.zip,https://files.dicta.org.il/maharamshikyorehdeah/maharamshikyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/maharamshikyorehdeah/maharamshikyorehdeah__ocr_data_html_files.zip,maharamshikyorehdeah_EGT,Maharam Shik Yoreh Deah,Responsa,rabbi Moshe Schick,Munkatch,,maharamshikyorehdeah
"מהרא""ש",1896,רבי אלכסנדר שמואל היילפרין,למברג,"שו""ת",,https://files.dicta.org.il/maharash/maharash__text_files.zip,https://files.dicta.org.il/maharash/maharash__nikud_meteg_files.zip,https://files.dicta.org.il/maharash/maharash__ocr_data_html_files.zip,maharash_EGT,Maharash,Responsa,Alexander Shmuel Halperin,Lemberg,,maharash
"מהר""ש חלק ג",1926,ר' שמואל אנגל,ברדיוב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/maharashresponsa3/maharashresponsa3__text_files.zip,https://files.dicta.org.il/maharashresponsa3/maharashresponsa3__nikud_meteg_files.zip,https://files.dicta.org.il/maharashresponsa3/maharashresponsa3__ocr_data_html_files.zip,maharashresponsa3,Maharash responsa part 3,Responsa,Rabbi Shmuel Engel,,,maharashresponsa3
"מהר""ש חלק ד",1926,ר' שמואל אנגל,ברדיוב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/maharashresponsa4/maharashresponsa4__text_files.zip,https://files.dicta.org.il/maharashresponsa4/maharashresponsa4__nikud_meteg_files.zip,https://files.dicta.org.il/maharashresponsa4/maharashresponsa4__ocr_data_html_files.zip,maharashresponsa4,Maharash responsa part 4,Responsa,Rabbi Shmuel Engel,,,maharashresponsa4
"מהר""ף",1901,רבי יעקב פראג'י,אלכנסדריה,"שו""ת",,https://files.dicta.org.il/maharif/maharif__text_files.zip,https://files.dicta.org.il/maharif/maharif__nikud_meteg_files.zip,https://files.dicta.org.il/maharif/maharif__ocr_data_html_files.zip,maharif_EGT,Maharif,Responsa,Yaakov Pargi,Alexandria,,maharif
מהרי”ל (מנהגים),1874,רבי יעקב הלוי בן משה מולין,ווארשא,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/maharilminhagim/maharilminhagim__text_files.zip,https://files.dicta.org.il/maharilminhagim/maharilminhagim__nikud_meteg_files.zip,https://files.dicta.org.il/maharilminhagim/maharilminhagim__ocr_data_html_files.zip,maharilminhagim,Maharil Minhagim,Halachah and Minhagim,Yaakov ben Moshe Levi Moelin,Warsaw,,maharilminhagim
"מהר""י מינץ",1882,רבי יהודה בן אליעזר מינץ,קראקא,"שו""ת",,https://files.dicta.org.il/maharimintz/maharimintz__text_files.zip,https://files.dicta.org.il/maharimintz/maharimintz__nikud_meteg_files.zip,https://files.dicta.org.il/maharimintz/maharimintz__ocr_data_html_files.zip,maharimintz_EGT,Mahari Mintz,Responsa,Judah ben Eliezer ha-Levi Minz,Krakow,,maharimintz
"מהרש""ם חלק א",1902,רבי שלום מרדכי שבדרון,ווארשא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/maharsham1/maharsham1__text_files.zip,https://files.dicta.org.il/maharsham1/maharsham1__nikud_meteg_files.zip,https://files.dicta.org.il/maharsham1/maharsham1__ocr_data_html_files.zip,maharsham1_EGT,Maharsham part 1,Responsa,Shalom Mordechai Schwadron,Warsaw,,maharsham1
"מהרש""ם חלק ב",1905,רבי שלום מרדכי שבדרון,פיעטרקוב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/maharsham2/maharsham2__text_files.zip,https://files.dicta.org.il/maharsham2/maharsham2__nikud_meteg_files.zip,https://files.dicta.org.il/maharsham2/maharsham2__ocr_data_html_files.zip,maharsham2_EGT,Maharsham part 2,Responsa,Shalom Mordechai Schwadron,Peterkov,,maharsham2
מקום שנהגו,1865,רבי אברהם חיים בן מסעוד חי אדאדי,ליוורנו,,ספריית דיקטה,https://files.dicta.org.il/makomshenahgu/makomshenahgu__text_files.zip,https://files.dicta.org.il/makomshenahgu/makomshenahgu__nikud_meteg_files.zip,https://files.dicta.org.il/makomshenahgu/makomshenahgu__ocr_data_html_files.zip,makomshenahgu,Makom Shenahgu,,Abraham Hayyim ben Masoud Hai Adadi,livorno,,makomshenahgu
מלמד התלמידים,1866,ר' יעקב אנטולי,לייק,ספרי מחשבה ומוסר (ראשונים),ספריית דיקטה,https://files.dicta.org.il/malmadhatalmidim/malmadhatalmidim__text_files.zip,https://files.dicta.org.il/malmadhatalmidim/malmadhatalmidim__nikud_meteg_files.zip,https://files.dicta.org.il/malmadhatalmidim/malmadhatalmidim__ocr_data_html_files.zip,malmadhatalmidim_EGT,Malmad ha-talmidim,Mussar and Jewish Thought,Jacob ben Abba Mari ben Simson Anatoli,,,malmadhatalmidim
משאת בנימין,1894,רבי בנימין אהרן,וילנא,"שו""ת",,https://files.dicta.org.il/masatbinyamin/masatbinyamin__text_files.zip,https://files.dicta.org.il/masatbinyamin/masatbinyamin__nikud_meteg_files.zip,https://files.dicta.org.il/masatbinyamin/masatbinyamin__ocr_data_html_files.zip,masatbinyamin_EGT,Masat Binyamin,Responsa,Binyamin Aharon Selnik,Vilna,,masatbinyamin
מטה משה,1876,רבי משה מאט,ווארשא,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/matehmoshe/matehmoshe__text_files.zip,https://files.dicta.org.il/matehmoshe/matehmoshe__nikud_meteg_files.zip,https://files.dicta.org.il/matehmoshe/matehmoshe__ocr_data_html_files.zip,matehmoshe,Mateh Moshe,Halachah and Minhagim – Achronim,Rabbi Moshe Matt,Warsaw,,matehmoshe
מטה יהונתן (פסח),1891,ר' יהונתן אייבשיץ,פקש,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/matehyehonatanpesach/matehyehonatanpesach__text_files.zip,https://files.dicta.org.il/matehyehonatanpesach/matehyehonatanpesach__nikud_meteg_files.zip,https://files.dicta.org.il/matehyehonatanpesach/matehyehonatanpesach__ocr_data_html_files.zip,matehyehonatanpesach,Mateh Yehonatan pesach,Commentaries on Shulchan Aruch,Rav Yonatan Eybeschütz,,,matehyehonatanpesach
מבוא שערים,1883,רבי חיים ויטאל,קראקא,קבלה,ספריית דיקטה,https://files.dicta.org.il/mavoshearimversion1/mavoshearimversion1__text_files.zip,https://files.dicta.org.il/mavoshearimversion1/mavoshearimversion1__nikud_meteg_files.zip,https://files.dicta.org.il/mavoshearimversion1/mavoshearimversion1__ocr_data_html_files.zip,mavoshearimversion1,Mavo Shearim,kabbalah,rabbi chaim vital,Krakow,,mavoshearimversion1
מגלה עמוקות חלק א,1884,רבי נָתָן נָטָע שַׁפִּירָא מקרקוב,לובלין,קבלה,ספריית דיקטה,https://files.dicta.org.il/megalehamukot1version1/megalehamukot1version1__text_files.zip,https://files.dicta.org.il/megalehamukot1version1/megalehamukot1version1__nikud_meteg_files.zip,https://files.dicta.org.il/megalehamukot1version1/megalehamukot1version1__ocr_data_html_files.zip,megalehamukot1version1,Megaleh Amukot Part 1,kabbalah,rabbi Nathan Nata Spira of Kraków,Lublin,,megalehamukot1version1
מגלה עמוקות חלק ב,1884,רבי נָתָן נָטָע שַׁפִּירָא מקרקוב,לובלין,קבלה,ספריית דיקטה,https://files.dicta.org.il/megalehamukot2version1/megalehamukot2version1__text_files.zip,https://files.dicta.org.il/megalehamukot2version1/megalehamukot2version1__nikud_meteg_files.zip,https://files.dicta.org.il/megalehamukot2version1/megalehamukot2version1__ocr_data_html_files.zip,megalehamukot2version1,Megaleh Amukot Part 2,kabbalah,rabbi Nathan Nata Spira of Kraków,Lublin,,megalehamukot2version1
מעיל צדקה,1835,רבי יונה לנדסופר,סדילקאב,"שו""ת",,https://files.dicta.org.il/meiltzedakah/meiltzedakah__text_files.zip,https://files.dicta.org.il/meiltzedakah/meiltzedakah__nikud_meteg_files.zip,https://files.dicta.org.il/meiltzedakah/meiltzedakah__ocr_data_html_files.zip,meiltzedakah_EGT,Meil Tzedakah,Responsa,Rabbi Yonah Landsofer,Sadilkab,,meiltzedakah
מקורי מנהגים,1874,"פינקלשטיין, יוסף בן שלמה",ורשה,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/mekoreiminhagim/mekoreiminhagim__text_files.zip,https://files.dicta.org.il/mekoreiminhagim/mekoreiminhagim__nikud_meteg_files.zip,https://files.dicta.org.il/mekoreiminhagim/mekoreiminhagim__ocr_data_html_files.zip,mekoreiminhagim,Mekorei Minhagim,Halachah and Minhagim,yosef ben shlomo Finkelstein,Warsaw,,mekoreiminhagim
מלאכת חושב,1902,"לוריא, משה בצלאל בן שרגא פייבוש",ורשה,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/melechetchoshev/melechetchoshev__text_files.zip,https://files.dicta.org.il/melechetchoshev/melechetchoshev__nikud_meteg_files.zip,https://files.dicta.org.il/melechetchoshev/melechetchoshev__ocr_data_html_files.zip,melechetchoshev,Melechet Choshev,Acharonim on Talmud Bavli,Moshe Betzalel ben Shraga Feivish Luriah,Warsaw,,melechetchoshev
מלאכת מחשבת חלק א,1914,רבי משה חפץ,וורשה,"מפרשי תנ""ך)",ספריית דיקטה,https://files.dicta.org.il/melekhetmahashevet1/melekhetmahashevet1__text_files.zip,https://files.dicta.org.il/melekhetmahashevet1/melekhetmahashevet1__nikud_meteg_files.zip,https://files.dicta.org.il/melekhetmahashevet1/melekhetmahashevet1__ocr_data_html_files.zip,melekhetmahashevet1,Melekhet Mahashevet part 1,Bible Commentaries,Rabbi Moshe Chafetz,Warsaw,,melekhetmahashevet1
מלאכת מחשבת חלק ב,1914,רבי משה חפץ,וורשה,"מפרשי תנ""ך)",ספריית דיקטה,https://files.dicta.org.il/melekhetmahashevet2/melekhetmahashevet2__text_files.zip,https://files.dicta.org.il/melekhetmahashevet2/melekhetmahashevet2__nikud_meteg_files.zip,https://files.dicta.org.il/melekhetmahashevet2/melekhetmahashevet2__ocr_data_html_files.zip,melekhetmahashevet2,Melekhet Mahashevet part 2,Bible Commentaries,Rabbi Moshe Chafetz,Warsaw,,melekhetmahashevet2
משיב צדק,1921,ר' צדוק הכהן,פיוטריקוב,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/meshivtzedek/meshivtzedek__text_files.zip,https://files.dicta.org.il/meshivtzedek/meshivtzedek__nikud_meteg_files.zip,https://files.dicta.org.il/meshivtzedek/meshivtzedek__ocr_data_html_files.zip,meshivtzedek,Meshiv Tzedek,Sifrei Chasidut,Rabbi Zadok HaCohen,Pyotrikov,,meshivtzedek
משובב נתיבות,1859,הרב אריה ליב בן יוסף הכהן (בעל הקצות),קניגסברג,מפרשים וחיבורים סביב שולחן ערוך,,https://files.dicta.org.il/meshovevnetivot/meshovevnetivot__text_files.zip,https://files.dicta.org.il/meshovevnetivot/meshovevnetivot__nikud_meteg_files.zip,https://files.dicta.org.il/meshovevnetivot/meshovevnetivot__ocr_data_html_files.zip,meshovevnetivot,Meshovev Netivot,Commentaries on Shulchan Aruch,Aryeh Leib HaCohen Heller,Koenigsberg,,meshovevnetivot
מצח אהרן חלק א,1908,"וואלקין, אהרן בן יעקב צבי",פיוטרקוב,דרשות,ספריית דיקטה,https://files.dicta.org.il/metzachaharon1/metzachaharon1__text_files.zip,https://files.dicta.org.il/metzachaharon1/metzachaharon1__nikud_meteg_files.zip,https://files.dicta.org.il/metzachaharon1/metzachaharon1__ocr_data_html_files.zip,metzachaharon1,metzach Aharon part 1,Derashot,"Volkin, Aharon",Piotrkow,,metzachaharon1
מדרש האתמרי,1901,רבי אליהו בן אברהם שלמה הכהן האתמרי,ווארשא,דרשות,ספריית דיקטה,https://files.dicta.org.il/midrashhaitamari/midrashhaitamari__text_files.zip,https://files.dicta.org.il/midrashhaitamari/midrashhaitamari__nikud_meteg_files.zip,https://files.dicta.org.il/midrashhaitamari/midrashhaitamari__ocr_data_html_files.zip,midrashhaitamari,Midrash Haitamari,reference,rabbi Eliyahu HaKohen Ha'Itamri,Warsaw,,midrashhaitamari
מדרש שמואל על אבות,1878,רבי שמואל די אוזידא,ווארשא,מפרשי המשנה,ספריית דיקטה,https://files.dicta.org.il/midrashshmuel/midrashshmuel__text_files.zip,https://files.dicta.org.il/midrashshmuel/midrashshmuel__nikud_meteg_files.zip,https://files.dicta.org.il/midrashshmuel/midrashshmuel__ocr_data_html_files.zip,midrashshmuel,Midrash Shmuel (avot),Mishna Commentaries,Rabbi Shmuel de Uzeda,Warsaw,,midrashshmuel
מקדש דוד חלק א,1918,ר' דוד רפפורט,פיעטרקוב,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/mikdashdavid1/mikdashdavid1__text_files.zip,https://files.dicta.org.il/mikdashdavid1/mikdashdavid1__nikud_meteg_files.zip,https://files.dicta.org.il/mikdashdavid1/mikdashdavid1__ocr_data_html_files.zip,mikdashdavid1_EGT,Mikdash David part 1,Chiddushim by Topic,Rabbi David HaKohen Rappoport,Peterkov,,mikdashdavid1
מקדש דוד חלק ב,1932,ר' דוד רפפורט,בילגורייא,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/mikdashdavid2/mikdashdavid2__text_files.zip,https://files.dicta.org.il/mikdashdavid2/mikdashdavid2__nikud_meteg_files.zip,https://files.dicta.org.il/mikdashdavid2/mikdashdavid2__ocr_data_html_files.zip,mikdashdavid2_EGT,Mikdash David part 2,Chiddushim by Topic,Rabbi David HaKohen Rappoport,Bilgoria,,mikdashdavid2
מקדש דוד חלק ג,1938,ר' דוד רפפורט,בילגורייא,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/mikdashdavid3/mikdashdavid3__text_files.zip,https://files.dicta.org.il/mikdashdavid3/mikdashdavid3__nikud_meteg_files.zip,https://files.dicta.org.il/mikdashdavid3/mikdashdavid3__ocr_data_html_files.zip,mikdashdavid3_EGT,Mikdash David part 3,Chiddushim by Topic,Rabbi David HaKohen Rappoport,Bilgoria,,mikdashdavid3
מקדש דוד חלק ד,1932,ר' דוד רפפורט,בילגורייא,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/mikdashdavid4/mikdashdavid4__text_files.zip,https://files.dicta.org.il/mikdashdavid4/mikdashdavid4__nikud_meteg_files.zip,https://files.dicta.org.il/mikdashdavid4/mikdashdavid4__ocr_data_html_files.zip,mikdashdavid4_EGT,Mikdash David part 4,Chiddushim by Topic,Rabbi David HaKohen Rappoport,Bilgoria,,mikdashdavid4
מנחה חריבה,1923,ר' פנחס אפשטיין,ירושלים,"מפרשי הש""ס (ראשונים)",ספריית דיקטה,https://files.dicta.org.il/minchachareiva/minchachareiva__text_files.zip,https://files.dicta.org.il/minchachareiva/minchachareiva__nikud_meteg_files.zip,https://files.dicta.org.il/minchachareiva/minchachareiva__ocr_data_html_files.zip,minchachareiva,Mincha Chareiva,Rishonim on Talmud Bavli,Rabbi Pinchas Epstein,Jerusalem,,minchachareiva
מנחת נתנאל,1936,"ווייל, יעקב נתנאל בן נפתלי צבי הירש",בילגורי,"מפרשי הש""ס",ספריית דיקטה,https://files.dicta.org.il/minchatnetanel/minchatnetanel__text_files.zip,https://files.dicta.org.il/minchatnetanel/minchatnetanel__nikud_meteg_files.zip,https://files.dicta.org.il/minchatnetanel/minchatnetanel__ocr_data_html_files.zip,minchatnetanel,Minchat Netanel,Acharonim on Talmud Bavli,Nathaniel Weil,Bilgoraj,,minchatnetanel
מרכבת המשנה (חעלמא) - א,1949,ר' שלמה חעלמא,ניו יורק,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/mirkevethamishnehchelma1/mirkevethamishnehchelma1__text_files.zip,https://files.dicta.org.il/mirkevethamishnehchelma1/mirkevethamishnehchelma1__nikud_meteg_files.zip,https://files.dicta.org.il/mirkevethamishnehchelma1/mirkevethamishnehchelma1__ocr_data_html_files.zip,mirkevethamishnehchelma1,Mirkevet Ha-Mishneh (Chelma) part 1,Commentaries on the Rambam,Shlomo Avdak Helma,New York,,mirkevethamishnehchelma1
מרכבת המשנה (חעלמא) - ב,1949,ר' שלמה חעלמא,ניו יורק,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/mirkevethamishnehchelma2/mirkevethamishnehchelma2__text_files.zip,https://files.dicta.org.il/mirkevethamishnehchelma2/mirkevethamishnehchelma2__nikud_meteg_files.zip,https://files.dicta.org.il/mirkevethamishnehchelma2/mirkevethamishnehchelma2__ocr_data_html_files.zip,mirkevethamishnehchelma2,Mirkevet Ha-Mishneh (Chelma) part 2,Commentaries on the Rambam,Shlomo Avdak Helma,New York,,mirkevethamishnehchelma2
משיב דבר,1894,רבי נפתלי צבי יהודה ברלין,ווארשא,"שו""ת",,https://files.dicta.org.il/mishivdavar/mishivdavar__text_files.zip,https://files.dicta.org.il/mishivdavar/mishivdavar__nikud_meteg_files.zip,https://files.dicta.org.il/mishivdavar/mishivdavar__ocr_data_html_files.zip,mishivdavar_EGT,Mishiv Davar,Responsa,Naftali Zvi Yehuda Berlin,,,mishivdavar
משכנות הרועים,1860,ר' עוזיאל לחאייך,ליוורנו,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/mishkanotharoim/mishkanotharoim__text_files.zip,https://files.dicta.org.il/mishkanotharoim/mishkanotharoim__nikud_meteg_files.zip,https://files.dicta.org.il/mishkanotharoim/mishkanotharoim__ocr_data_html_files.zip,mishkanotharoim_EGT,Mishkanot Ha-Ro’im,Chiddushim by Topic,Uziel Lachaich,Levorno,,mishkanotharoim
משמרות כהונה חלק א,1862,הרב אברהם הכהן יצחקי,ליוורנו,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/mishmerotkehunah1/mishmerotkehunah1__text_files.zip,https://files.dicta.org.il/mishmerotkehunah1/mishmerotkehunah1__nikud_meteg_files.zip,https://files.dicta.org.il/mishmerotkehunah1/mishmerotkehunah1__ocr_data_html_files.zip,mishmerotkehunah1_EGT,Mishmerot Kehunah part 1,Acharonim on Talmud Bavli,Avraham ben Yitzhak Hi haCohen Yitzhakו,Livorno,,mishmerotkehunah1
משמרות כהונה חלק ב,1862,הרב אברהם הכהן יצחקי,ליוורנו,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/mishmerotkehunah2/mishmerotkehunah2__text_files.zip,https://files.dicta.org.il/mishmerotkehunah2/mishmerotkehunah2__nikud_meteg_files.zip,https://files.dicta.org.il/mishmerotkehunah2/mishmerotkehunah2__ocr_data_html_files.zip,mishmerotkehunah2_EGT,Mishmerot Kehunah part 2,Acharonim on Talmud Bavli,Avraham ben Yitzhak Hi haCohen Yitzhakו,Livorno,,mishmerotkehunah2
משמרות כהונה חלק ג,1862,הרב אברהם הכהן יצחקי,ליוורנו,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/mishmerotkehunah3/mishmerotkehunah3__text_files.zip,https://files.dicta.org.il/mishmerotkehunah3/mishmerotkehunah3__nikud_meteg_files.zip,https://files.dicta.org.il/mishmerotkehunah3/mishmerotkehunah3__ocr_data_html_files.zip,mishmerotkehunah3,Mishmerot Kehunah part 3,Acharonim on Talmud Bavli,Avraham ben Yitzhak Hi haCohen Yitzhakו,Livorno,,mishmerotkehunah3
"משנה למלך אחרון (הרמב""ם)",1905,ר' מרדכי לוריא,ירושלים,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/mishnehlamelekhaharon/mishnehlamelekhaharon__text_files.zip,https://files.dicta.org.il/mishnehlamelekhaharon/mishnehlamelekhaharon__nikud_meteg_files.zip,https://files.dicta.org.il/mishnehlamelekhaharon/mishnehlamelekhaharon__ocr_data_html_files.zip,mishnehlamelekhaharon_EGT,Mishneh Lamelekh Aharon (Rambam),Commentaries on the Rambam,Rabbi Mordechai Luria,Jerusalem,,mishnehlamelekhaharon
משנה שכיר חלק א,1924,רבי ישכר שלמה טייכטאל,ברדיוב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/mishnesachir1/mishnesachir1__text_files.zip,https://files.dicta.org.il/mishnesachir1/mishnesachir1__nikud_meteg_files.zip,https://files.dicta.org.il/mishnesachir1/mishnesachir1__ocr_data_html_files.zip,mishnesachir1,Mishne Sachir part 1,Responsa,Yissachar Shlomo Teichtal,,,mishnesachir1
משפטים ישרים,1891,רבי רפאל בן מרדכי ברדוגו,קראקא,"שו""ת",,https://files.dicta.org.il/mishpatimyesharim/mishpatimyesharim__text_files.zip,https://files.dicta.org.il/mishpatimyesharim/mishpatimyesharim__nikud_meteg_files.zip,https://files.dicta.org.il/mishpatimyesharim/mishpatimyesharim__ocr_data_html_files.zip,mishpatimyesharim_EGT,Mishpatim Yesharim,Responsa,Raphael Berdugo,Krakow,,mishpatimyesharim
מר ואהלות,1843,רבי אברהם בן יצחק ענתיבי,ליוורנו,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/morvaahalot/morvaahalot__text_files.zip,https://files.dicta.org.il/morvaahalot/morvaahalot__nikud_meteg_files.zip,https://files.dicta.org.il/morvaahalot/morvaahalot__ocr_data_html_files.zip,morvaahalot_EGT,Mor Va-Ahalot,Responsa,"Antibi, Abraham ben Isaac",Levorno,,morvaahalot
מוצל מאש (ר' יעקב אלפנדרי),1878,רבי יעקב אלפנדרי,פרעסבורג,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/mutzalmeeshrjacobalfandri/mutzalmeeshrjacobalfandri__text_files.zip,https://files.dicta.org.il/mutzalmeeshrjacobalfandri/mutzalmeeshrjacobalfandri__nikud_meteg_files.zip,https://files.dicta.org.il/mutzalmeeshrjacobalfandri/mutzalmeeshrjacobalfandri__ocr_data_html_files.zip,mutzalmeeshrjacobalfandri,Mutzal Me-Esh R. Jacob Alfandri,Responsa,"Elpandari, Yaakov",Bratislava,,mutzalmeeshrjacobalfandri
נחלת אבות,1866,רבי ישראל איסר וולף,פרעסבורג,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/nachalatavot/nachalatavot__text_files.zip,https://files.dicta.org.il/nachalatavot/nachalatavot__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatavot/nachalatavot__ocr_data_html_files.zip,nachalatavot_EGT,Nachalat Avot,Responsa,Yisroel Isser,Pressburg,,nachalatavot
נחלת דוד בבא בתרא,1944,"דוד טבל בן משה, ממינסק","חמ""ד","מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/nachalatdavidbavabatra/nachalatdavidbavabatra__text_files.zip,https://files.dicta.org.il/nachalatdavidbavabatra/nachalatdavidbavabatra__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatdavidbavabatra/nachalatdavidbavabatra__ocr_data_html_files.zip,nachalatdavidbavabatra_EGT,Nachalat David Bava Batra,Acharonim on Talmud Bavli,Dovid Tevil,,,nachalatdavidbavabatra
נחלת דוד בבא קמא,1947,"דוד טבל בן משה, ממינסק",ניו יורק,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/nachalatdavidbavakamma/nachalatdavidbavakamma__text_files.zip,https://files.dicta.org.il/nachalatdavidbavakamma/nachalatdavidbavakamma__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatdavidbavakamma/nachalatdavidbavakamma__ocr_data_html_files.zip,nachalatdavidbavakamma,Nachalat David Bava Kamma,Acharonim on Talmud Bavli,Dovid Tevil,New York,,nachalatdavidbavakamma
נחלת דוד בבא מציעא,1947,"דוד טבל בן משה, ממינסק",ניו יורק,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/nachalatdavidbavametzia/nachalatdavidbavametzia__text_files.zip,https://files.dicta.org.il/nachalatdavidbavametzia/nachalatdavidbavametzia__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatdavidbavametzia/nachalatdavidbavametzia__ocr_data_html_files.zip,nachalatdavidbavametzia_EGT,Nachalat David Bava Metzia,Acharonim on Talmud Bavli,Dovid Tevil,New York,,nachalatdavidbavametzia
נחלת שבעה מהדורא קמא חלק ב,1884,"רבי שמואל הלוי סג""ל",ווארשא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/nachalatshivahmahadurakama2/nachalatshivahmahadurakama2__text_files.zip,https://files.dicta.org.il/nachalatshivahmahadurakama2/nachalatshivahmahadurakama2__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatshivahmahadurakama2/nachalatshivahmahadurakama2__ocr_data_html_files.zip,nachalatshivahmahadurakama2,Nahalat shivah Mahadura Kama part 2,Responsa,David ha-Levi Segal,Warsaw,,nachalatshivahmahadurakama2
נחלת יעקב,1887,"יעקב בן יעקב משה, מליסה",לעמבערג,"מפרשי התנ""ך",ספריית דיקטה,https://files.dicta.org.il/nachalatyaakov/nachalatyaakov__text_files.zip,https://files.dicta.org.il/nachalatyaakov/nachalatyaakov__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatyaakov/nachalatyaakov__ocr_data_html_files.zip,nachalatyaakov,Nachalat Yaakov,Bible Commentaries,Yaakov ben Yaakov Moshe Lorberbaum of Lissa,Lamberg,,nachalatyaakov
נחלת יהושע,1851,הרב יהושע יצחק שפירא,ווארשא,"שו""ת",,https://files.dicta.org.il/nachalatyehoshua/nachalatyehoshua__text_files.zip,https://files.dicta.org.il/nachalatyehoshua/nachalatyehoshua__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatyehoshua/nachalatyehoshua__ocr_data_html_files.zip,nachalatyehoshua,Nachalat Yehoshua,Responsa,Yehoshua Isaac Shapiro,Warsaw,,nachalatyehoshua
נחל יצחק חלק א,1872,רבי יצחק אלחנן בן ישראל ספקטור,וילנא,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/nachalyitzchak1/nachalyitzchak1__text_files.zip,https://files.dicta.org.il/nachalyitzchak1/nachalyitzchak1__nikud_meteg_files.zip,https://files.dicta.org.il/nachalyitzchak1/nachalyitzchak1__ocr_data_html_files.zip,nachalyitzchak1_EGT,Nachal Yitzchak part 1,Commentaries on Shulchan Aruch,"Spektor, Isaac Elhanan,",Vilna,,nachalyitzchak1
