underwentBerelUnflagging,categoryEnglish,printYear,ocrFeDir,printLocationEnglish,textFileURL,notHumanReviewed,category,source,author,printLocation,displayName,nikudMetegFileURL,OCRDataURL,authorEnglish,fileName,displayNameEnglish
,Halachah and Minhagim,1907,eitzhadar,Jerusalem,https://files.dicta.org.il/eitzhadar/eitzhadar__text_files.zip,,ספרי הלכה ומנהג,ספריית דיקטה,רבי אברהם יצחק הכהן קוק,ירושלים,עץ הדר,https://files.dicta.org.il/eitzhadar/eitzhadar__nikud_meteg_files.zip,https://files.dicta.org.il/eitzhadar/eitzhadar__ocr_data_html_files.zip,Abraham Isaac Kook,eitzhadar,Eitz Heder
,Halachah and Minhagim,1887,elehamitzvot,Warsaw,https://files.dicta.org.il/elehamitzvot/elehamitzvot__text_files.zip,,ספרי הלכה ומנהג,ספריית דיקטה,רבי משה בן יעקב ישראל חגיז,ורשה,אלה המצות,https://files.dicta.org.il/elehamitzvot/elehamitzvot__nikud_meteg_files.zip,https://files.dicta.org.il/elehamitzvot/elehamitzvot__ocr_data_html_files.zip,Moses Hagiz,elehamitzvot,Ele Ha-mitzvot
,Responsa,1925,emekyehoshua1,Jerusalem,https://files.dicta.org.il/emekyehoshua1/emekyehoshua1__text_files.zip,,"שו""ת",ספריית דיקטה,"שפירא, יהושע איזיק בן יחיאל",ירושלים,עמק יהושע חלק א,https://files.dicta.org.il/emekyehoshua1/emekyehoshua1__nikud_meteg_files.zip,https://files.dicta.org.il/emekyehoshua1/emekyehoshua1__ocr_data_html_files.zip,Yehoshua Izaik bar Yehiel Shapiro,emekyehoshua1,Emek Yehoshua part 1
,Derashot,1925,emekyehoshua2,Jerusalem,https://files.dicta.org.il/emekyehoshua2/emekyehoshua2__text_files.zip,,דרשות,ספריית דיקטה,"שפירא, יהושע איזיק בן יחיאל",ירושלים,עמק יהושע חלק ב,https://files.dicta.org.il/emekyehoshua2/emekyehoshua2__nikud_meteg_files.zip,https://files.dicta.org.il/emekyehoshua2/emekyehoshua2__ocr_data_html_files.zip,Yehoshua Izaik bar Yehiel Shapiro,emekyehoshua2,Emek Yehoshua part 2
,Acharonim on Talmud Bavli,1865,emetlayaakov,Warsaw,https://files.dicta.org.il/emetlayaakov/emetlayaakov__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,רבי יעקב בן יעקב משה לורברבוים מליסא,ווארשא,אמת ליעקב,https://files.dicta.org.il/emetlayaakov/emetlayaakov__nikud_meteg_files.zip,https://files.dicta.org.il/emetlayaakov/emetlayaakov__ocr_data_html_files.zip,Yaakov Lerbernbaum,emetlayaakov,Emet La-Yaakov
,Responsa,1884,emunatshmuel_EGT,Lamberg,https://files.dicta.org.il/emunatshmuel/emunatshmuel__text_files.zip,,"שו""ת",ספריית דיקטה,רבי אהרון שמואל קוידנובר,לעמבערג,אמונת שמואל,https://files.dicta.org.il/emunatshmuel/emunatshmuel__nikud_meteg_files.zip,https://files.dicta.org.il/emunatshmuel/emunatshmuel__ocr_data_html_files.zip,Aaron Samuel ben Israel Kaidanover,emunatshmuel,Emunat Shmuelr
,Halachah and Minhagim,1865,enehakohen,Livorno,https://files.dicta.org.il/enehakohen/enehakohen__text_files.zip,,ספרי הלכה ומנהג,ספריית דיקטה,"יצחקי, אברהם בן יצחק חי הכהן",ליוורנו ,עיני הכהן,https://files.dicta.org.il/enehakohen/enehakohen__nikud_meteg_files.zip,https://files.dicta.org.il/enehakohen/enehakohen__ocr_data_html_files.zip,"Yitzhaki, Avraham",enehakohen,Ene ha-Kohen
,Responsa,1892,enhatecheleit,Warsaw,https://files.dicta.org.il/enhatecheleit/enhatecheleit__text_files.zip,,"שו""ת",ספריית דיקטה,הרב גרשון העניך ליינער,וורשה,עין התכלת,https://files.dicta.org.il/enhatecheleit/enhatecheleit__nikud_meteg_files.zip,https://files.dicta.org.il/enhatecheleit/enhatecheleit__ocr_data_html_files.zip,Rabbi Gershon Chanoch Henech Leiner of Radzyn,enhatecheleit,En haTecheleit
,shulchan aruch commentaries,1891,erekhhashulchan,Tunisia,https://files.dicta.org.il/erekhhashulchan/erekhhashulchan__text_files.zip,,מפרשי השולחן ערוך,ספריית דיקטה,רבי יצחק טייב,תוניס,ערך השולחן חושן משפט חלק ג,https://files.dicta.org.il/erekhhashulchan/erekhhashulchan__nikud_meteg_files.zip,https://files.dicta.org.il/erekhhashulchan/erekhhashulchan__ocr_data_html_files.zip,rabbi yitzchak tayeb,erekhhashulchan,Erekh Hashulchan Choshen Mishpat part 3
,shulchan aruch commentaries,1891,erekhhashulchanchoshenmishpat2,Tunisia,https://files.dicta.org.il/erekhhashulchanchoshenmishpat2/erekhhashulchanchoshenmishpat2__text_files.zip,,מפרשי השולחן ערוך,ספריית דיקטה,רבי יצחק טייב,תוניס,ערך השולחן חושן משפט חלק ב,https://files.dicta.org.il/erekhhashulchanchoshenmishpat2/erekhhashulchanchoshenmishpat2__nikud_meteg_files.zip,https://files.dicta.org.il/erekhhashulchanchoshenmishpat2/erekhhashulchanchoshenmishpat2__ocr_data_html_files.zip,rabbi yitzchak tayeb,erekhhashulchanchoshenmishpat2,Erekh Hashulchan Choshen Mishpat part 2
,Responsa,1939,eretztzvi,Lublin,https://files.dicta.org.il/eretztzvi/eretztzvi__text_files.zip,,"שו""ת",ספריית דיקטה,הרב אריה צבי פרומר,לובלין,ארץ צבי (פרומר) א,https://files.dicta.org.il/eretztzvi/eretztzvi__nikud_meteg_files.zip,https://files.dicta.org.il/eretztzvi/eretztzvi__ocr_data_html_files.zip,Aryeh Tzvi Frommer,eretztzvi,Eretz Tzvi part 1
,Bible Commentaries,1907,eshkolhakoferonruth,Bardejov,https://files.dicta.org.il/eshkolhakoferonruth/eshkolhakoferonruth__text_files.zip,,"מפרשי התנ""ך",ספריית דיקטה,ר' אברהם סבע,ברדיוב,אשכול הכופר על רות,https://files.dicta.org.il/eshkolhakoferonruth/eshkolhakoferonruth__nikud_meteg_files.zip,https://files.dicta.org.il/eshkolhakoferonruth/eshkolhakoferonruth__ocr_data_html_files.zip,Abraham Saba,eshkolhakoferonruth,Eshkol HaKofer on Ruth
,Shas Commentators,1878,evenhaozershas,Warsaw,https://files.dicta.org.il/evenhaozershas/evenhaozershas__text_files.zip,,"פרשני הש""ס",ספריית דיקטה,ר' בנימין עוזר הכהן, ווארשא,"אבן העוזר על הש""ס",https://files.dicta.org.il/evenhaozershas/evenhaozershas__nikud_meteg_files.zip,https://files.dicta.org.il/evenhaozershas/evenhaozershas__ocr_data_html_files.zip,Rabbi Binyamin Ozer HaCohen,evenhaozershas,Even HaOzer (shas)
,Responsa,1887,evenhareisho,Warsaw,https://files.dicta.org.il/evenhareisho/evenhareisho__text_files.zip,,"שו""ת",ספריית דיקטה,"קלאצקין, אליהו בן נפתלי הירץ",ורשה,אבן הראשה,https://files.dicta.org.il/evenhareisho/evenhareisho__nikud_meteg_files.zip,https://files.dicta.org.il/evenhareisho/evenhareisho__ocr_data_html_files.zip,Eliyahu Ben Naftali Hertz Klatzkin,evenhareisho,Even Hareisho
,Responsa,1893,evenshethiya,Vilna,https://files.dicta.org.il/evenshethiya/evenshethiya__text_files.zip,,"שו""ת",ספריית דיקטה,הרב אליעזר דון יחיא,ווילנה,אבן שתיה,https://files.dicta.org.il/evenshethiya/evenshethiya__nikud_meteg_files.zip,https://files.dicta.org.il/evenshethiya/evenshethiya__ocr_data_html_files.zip,Eliezer Ben Shabsi Don Yichiya,evenshethiya,Even Shethiya
,Derashot,1899,evenshoham,Podgorze,https://files.dicta.org.il/evenshoham/evenshoham__text_files.zip,,דרשות ודרושים,ספריית דיקטה,משה בן יהודה ממינסק,פודגורזה,אבן שהם,https://files.dicta.org.il/evenshoham/evenshoham__nikud_meteg_files.zip,https://files.dicta.org.il/evenshoham/evenshoham__ocr_data_html_files.zip,Moseh Perlamutter,evenshoham,Even Shoham
,Acharonim on Talmud Bavli,1909,gelyonihashasmoed,Vienna,https://files.dicta.org.il/gelyonihashasmoed/gelyonihashasmoed__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' יוסף ענגיל,וינה,"גליוני הש""ס מועד",https://files.dicta.org.il/gelyonihashasmoed/gelyonihashasmoed__nikud_meteg_files.zip,https://files.dicta.org.il/gelyonihashasmoed/gelyonihashasmoed__ocr_data_html_files.zip,Rabbi Yosef Engil,gelyonihashasmoed,Gelyoni haShas Moed
,Acharonim on Talmud Bavli,1917,gelyonihashasnashim,Vienna,https://files.dicta.org.il/gelyonihashasnashim/gelyonihashasnashim__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' יוסף ענגיל,וינה,"גליוני הש""ס נשים",https://files.dicta.org.il/gelyonihashasnashim/gelyonihashasnashim__nikud_meteg_files.zip,https://files.dicta.org.il/gelyonihashasnashim/gelyonihashasnashim__ocr_data_html_files.zip,Rabbi Yosef Engil,gelyonihashasnashim,Gelyoni haShas Nashim
,Acharonim on Talmud Bavli,1917,gelyonihashasnezikin,Vienna,https://files.dicta.org.il/gelyonihashasnezikin/gelyonihashasnezikin__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' יוסף ענגיל,וינה,"גליוני הש""ס נזיקין",https://files.dicta.org.il/gelyonihashasnezikin/gelyonihashasnezikin__nikud_meteg_files.zip,https://files.dicta.org.il/gelyonihashasnezikin/gelyonihashasnezikin__ocr_data_html_files.zip,Rabbi Yosef Engil,gelyonihashasnezikin,Gelyoni haShas Nezikin
,Acharonim on Talmud Bavli,1869,gereshyerachim_EGT,Warsaw,https://files.dicta.org.il/gereshyerachim/gereshyerachim__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,הרב אריה לייב צינץ,ווארשא,גרש ירחים,https://files.dicta.org.il/gereshyerachim/gereshyerachim__nikud_meteg_files.zip,https://files.dicta.org.il/gereshyerachim/gereshyerachim__ocr_data_html_files.zip,Aryeh Leib ben Moses Zuenz,gereshyerachim,Geresh Yerachim
,Shas Commentators,1907,gevuratarimakkotbeitzahnazir_EGT,Piotrkow,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__text_files.zip,,"מפרשי הש""ס",ספריית דיקטה,רבי אריה ליב גינזבורג,פיעטרקוב,גבורת ארי מכות ביצה נזיר,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__ocr_data_html_files.zip,Aryeh Leib ben Asher Ginzburg,gevuratarimakkotbeitzahnazir,Gevurat Arן Makkot Beitzah Nazir
,Shas Commentators,1862,gevurataritaanit_EGT,Vilna,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__text_files.zip,,"מפרשי הש""ס",ספריית דיקטה,רבי אריה ליב גינזבורג,ווילנא,גבורת ארי תענית,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__nikud_meteg_files.zip,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__ocr_data_html_files.zip,Aryeh Leib ben Asher Ginzburg,gevurataritaanit,Gevurat Ari Taanit
,Shas Commentators,1907,gevuratariyoma_EGT,Piotrkow,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__text_files.zip,,"מפרשי הש""ס",ספריית דיקטה,רבי אריה ליב גינזבורג,פיעטרקוב,גבורת ארי יומא,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__ocr_data_html_files.zip,Aryeh Leib ben Asher Ginzburg,gevuratariyoma,Gevurat Ari Yoma
,Derashot,1900,gevuratyonatan,Warsaw,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__text_files.zip,,דרשות,ספריית דיקטה,"אייבשיץ, יהונתן בן נתן נטע",ווארשא,גבורת יהונתן,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__ocr_data_html_files.zip,Jonathan Eybeschutz,gevuratyonatan,Gevurat Yonatan
,Others,1902,gevurosshlomo,Lvov,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__text_files.zip,,נושאים שונים,ספריית דיקטה,"קלוגר, שלמה בן יהודה אהרן",לבוב,גבורות שלמה,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__nikud_meteg_files.zip,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__ocr_data_html_files.zip,Solomon ben Judah Aaron Kluger,gevurosshlomo,Gevurot Shlomo
,Acharonim on Talmud Bavli,1930,gevurotshmonim,Warsaw,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,"ענגיל, יוסף בן יהודה",ורשה,גבורות שמונים,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__nikud_meteg_files.zip,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__ocr_data_html_files.zip,Yosef Engel,gevurotshmonim,Gevurot Shmonim
,Responsa,1898,ginatbitan,Warsaw,https://files.dicta.org.il/ginatbitan/ginatbitan__text_files.zip,,"שו""ת",,"בילצקי, תנחום גרשון בן נתן נטע ליב",ווארשא,גנת ביתן,https://files.dicta.org.il/ginatbitan/ginatbitan__nikud_meteg_files.zip,https://files.dicta.org.il/ginatbitan/ginatbitan__ocr_data_html_files.zip,"Bilitzky, Tanchum Gershon",ginatbitan,Ginat Bitan
,Responsa,1939,givathalevonah,Lvov,https://files.dicta.org.il/givathalevonah/givathalevonah__text_files.zip,,"שו""ת",ספריית דיקטה,"בומבאך, נפתלי הירץ בן יוסף",Lublin,גבעת הלבונה,https://files.dicta.org.il/givathalevonah/givathalevonah__nikud_meteg_files.zip,https://files.dicta.org.il/givathalevonah/givathalevonah__ocr_data_html_files.zip,,givathalevonah,Givat Halevonah
,Derashot,1861,gushpankademalkaderashot,Levorno,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__text_files.zip,,דרשות,ספריית דיקטה,ר' פארוז קרסינטי,ליוורנו,גושפנקא דמלכא דרשות,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__ocr_data_html_files.zip,Pariz Keresinti,gushpankademalkaderashot,Gushpanka De-Malka (Derashot)
,likutim,1861,gushpankademalkalikutim,Levorno,https://files.dicta.org.il/gushpankademalkalikutim/gushpankademalkalikutim__text_files.zip,,ליקוטים,ספריית דיקטה,ר' פארוז קרסינטי,ליוורנו,גושפנקא דמלכא (ליקוטים),https://files.dicta.org.il/gushpankademalkalikutim/gushpankademalkalikutim__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkalikutim/gushpankademalkalikutim__ocr_data_html_files.zip,Pariz Keresinti,gushpankademalkalikutim,Gushpanka De-Malka (likutim)
,Commentaries on the Rambam,1861,gushpankademalkarambam_EGT,Levorno,https://files.dicta.org.il/gushpankademalkarambam/gushpankademalkarambam__text_files.zip,,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,ר' פארוז קרסינטי,ליוורנו,"גושפנקא דמלכא (רמב""ם)",https://files.dicta.org.il/gushpankademalkarambam/gushpankademalkarambam__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkarambam/gushpankademalkarambam__ocr_data_html_files.zip,Pariz Keresinti,gushpankademalkarambam,Gushpanka De-Malka (Rambam)
,Acharonim on Talmud Bavli,1861,gushpankademalkashas,Levorno,https://files.dicta.org.il/gushpankademalkashas/gushpankademalkashas__text_files.zip,,"מפרש הש""ס )אחרונים",ספריית דיקטה,ר' פארוז קרסינטי,ליוורנו,"גושפנקא דמלכא (ש""ס)",https://files.dicta.org.il/gushpankademalkashas/gushpankademalkashas__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkashas/gushpankademalkashas__ocr_data_html_files.zip,Pariz Keresinti,gushpankademalkashas,Gushpanka De-Malka (shas)
,Responsa,1875,haadmorhazaken,Warsaw,https://files.dicta.org.il/haadmorhazaken/haadmorhazaken__text_files.zip,,"שו""ת",ספריית דיקטה,רבי שניאור זלמן מליאדי,ווארשא,"האדמו""ר הזקן",https://files.dicta.org.il/haadmorhazaken/haadmorhazaken__nikud_meteg_files.zip,https://files.dicta.org.il/haadmorhazaken/haadmorhazaken__ocr_data_html_files.zip,rabbi shneur zalman of liadi,haadmorhazaken,Haadmor Hazaken
,Halakha,1884,haagur_EGT,Piotrkow,https://files.dicta.org.il/haagur/haagur__text_files.zip,,ספרי הלכה ומנהג,,רבי יעקב לנדא,פיעטרקוב,האגור,https://files.dicta.org.il/haagur/haagur__nikud_meteg_files.zip,https://files.dicta.org.il/haagur/haagur__ocr_data_html_files.zip,Jacob Landa,haagur,Ha'Agur
,Mussar and Jewish Thought,1842,haemunavehabitachon_EGT,Warsaw,https://files.dicta.org.il/haemunavehabitachon/haemunavehabitachon__text_files.zip,,ספרי מחשבה ומוסר (ראשונים),ספריית דיקטה,"מיוחס לרמב""ן",וורשה,האמונה והבטחון,https://files.dicta.org.il/haemunavehabitachon/haemunavehabitachon__nikud_meteg_files.zip,https://files.dicta.org.il/haemunavehabitachon/haemunavehabitachon__ocr_data_html_files.zip,Attributed to Ramban,haemunavehabitachon,Haemuna Vehabitachon
,Commentaries on Shulchan Aruch,1861,haflaahkuntresacharon,Warsaw,https://files.dicta.org.il/haflaahkuntresacharon/haflaahkuntresacharon__text_files.zip,,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,הרב פנחס הלוי איש הורוויץ,ווארשא,הפלאה - קונטרס אחרון (כתובות),https://files.dicta.org.il/haflaahkuntresacharon/haflaahkuntresacharon__nikud_meteg_files.zip,https://files.dicta.org.il/haflaahkuntresacharon/haflaahkuntresacharon__ocr_data_html_files.zip,Rabbi Pinchas HaLevi Horowitz,haflaahkuntresacharon,Hafla’ah – Kuntres Acharon
,Acharonim on Talmud Bavli,1905,haflaahshebaarakhin,Vilna,https://files.dicta.org.il/haflaahshebaarakhin/haflaahshebaarakhin__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,"רבינוביץ, חיים בן יצחק אייזיק",וילנה,הפלאה שבערכין,https://files.dicta.org.il/haflaahshebaarakhin/haflaahshebaarakhin__nikud_meteg_files.zip,https://files.dicta.org.il/haflaahshebaarakhin/haflaahshebaarakhin__ocr_data_html_files.zip,Yitzhak Isaac Halevy (Rabinowitz),haflaahshebaarakhin,Hafla'ah ShebaArakhin
,Responsa,1885,hagahotshutrabeinumeshulamigra,Warsaw,https://files.dicta.org.il/hagahotshutrabeinumeshulamigra/hagahotshutrabeinumeshulamigra__text_files.zip,,"שו""ת",ספריית דיקטה,,וורשה,"הגהות שו""ת רבינו משולם איגרא",https://files.dicta.org.il/hagahotshutrabeinumeshulamigra/hagahotshutrabeinumeshulamigra__nikud_meteg_files.zip,https://files.dicta.org.il/hagahotshutrabeinumeshulamigra/hagahotshutrabeinumeshulamigra__ocr_data_html_files.zip,,hagahotshutrabeinumeshulamigra,Hagahot Shut Rabeinu Meshulam Igra
,Responsa,1897,halachotketanot1_EGT,Krakow,https://files.dicta.org.il/halachotketanot1/halachotketanot1__text_files.zip,,"שו""ת",,רבי יעקב ישראל חגיז,קארקא,הלכות קטנות א,https://files.dicta.org.il/halachotketanot1/halachotketanot1__nikud_meteg_files.zip,https://files.dicta.org.il/halachotketanot1/halachotketanot1__ocr_data_html_files.zip,Jacob Hagiz,halachotketanot1,Halachot Ketanot 1
,Responsa,1897,halachotketanot2_EGT,Krakow,https://files.dicta.org.il/halachotketanot2/halachotketanot2__text_files.zip,,"שו""ת",,רבי יעקב ישראל חגיז,קארקא,הלכות קטנות ב,https://files.dicta.org.il/halachotketanot2/halachotketanot2__nikud_meteg_files.zip,https://files.dicta.org.il/halachotketanot2/halachotketanot2__ocr_data_html_files.zip,Jacob Hagiz,halachotketanot2,Halachot Ketanot 2
,Commentaries on the Rambam,1932,halichoteliyahurambam_EGT,Vilna,https://files.dicta.org.il/halichoteliyahurambam/halichoteliyahurambam__text_files.zip,,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,ר' אליהו פיינשטיין,ווילנה,"הליכות אליהו (רמב""ם)",https://files.dicta.org.il/halichoteliyahurambam/halichoteliyahurambam__nikud_meteg_files.zip,https://files.dicta.org.il/halichoteliyahurambam/halichoteliyahurambam__ocr_data_html_files.zip,Eliyahu Feinstein,halichoteliyahurambam,Halichot Eliyahu (Rambam)
,Commentaries on Shulchan Aruch,1932,halichoteliyahushulchanaruch,Vilna,https://files.dicta.org.il/halichoteliyahushulchanaruch/halichoteliyahushulchanaruch__text_files.zip,,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,ר' אליהו פיינשטיין,וילנא,הליכות אליהו על השולחן ערוך,https://files.dicta.org.il/halichoteliyahushulchanaruch/halichoteliyahushulchanaruch__nikud_meteg_files.zip,https://files.dicta.org.il/halichoteliyahushulchanaruch/halichoteliyahushulchanaruch__ocr_data_html_files.zip,Eliyahu Feinstein,halichoteliyahushulchanaruch,Hilchot Eliyahu Shulchan Aruch
,Acharonim on Talmud Bavli,1860,hamakneh,Lamberg,https://files.dicta.org.il/hamakneh/hamakneh__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,הרב פנחס הלוי איש הורוויץ,לעמבערג,המקנה,https://files.dicta.org.il/hamakneh/hamakneh__nikud_meteg_files.zip,https://files.dicta.org.il/hamakneh/hamakneh__ocr_data_html_files.zip,Rabbi Pinchas HaLevi Horowitz,hamakneh,Ha-Makneh
,Commentaries on Shulchan Aruch,1860,hamaknehkuntresacharon,Lamberg,https://files.dicta.org.il/hamaknehkuntresacharon/hamaknehkuntresacharon__text_files.zip,,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,הרב פנחס הלוי איש הורוויץ,לעמבערג,המקנה - קונטרס אחרון,https://files.dicta.org.il/hamaknehkuntresacharon/hamaknehkuntresacharon__nikud_meteg_files.zip,https://files.dicta.org.il/hamaknehkuntresacharon/hamaknehkuntresacharon__ocr_data_html_files.zip,Rabbi Pinchas HaLevi Horowitz,hamaknehkuntresacharon,Ha-Makneh – Kuntres Acharon
,Bible Commentaries,1923,hamedrashvhamaasehbamidbar,Piotrkow,https://files.dicta.org.il/hamedrashvhamaasehbamidbar/hamedrashvhamaasehbamidbar__text_files.zip,,"מפרשי תנ""ך",ספריית דיקטה,"ליבשיץ, יחזקאל בן הילל אריה ליב",פיוטרקוב,המדרש והמעשה במדבר,https://files.dicta.org.il/hamedrashvhamaasehbamidbar/hamedrashvhamaasehbamidbar__nikud_meteg_files.zip,https://files.dicta.org.il/hamedrashvhamaasehbamidbar/hamedrashvhamaasehbamidbar__ocr_data_html_files.zip,Yechezkel Livshitz,hamedrashvhamaasehbamidbar,haMedrash V'Hamaaseh Bamidbar
,Bible Commentaries,1906,hamedrashvhamaasehbershit,Piotrkow,https://files.dicta.org.il/hamedrashvhamaasehbershit/hamedrashvhamaasehbershit__text_files.zip,,"מפרשי תנ""ך",ספריית דיקטה,"ליבשיץ, יחזקאל בן הילל אריה ליב",פיוטרקוב,המדרש והמעשה בראשית,https://files.dicta.org.il/hamedrashvhamaasehbershit/hamedrashvhamaasehbershit__nikud_meteg_files.zip,https://files.dicta.org.il/hamedrashvhamaasehbershit/hamedrashvhamaasehbershit__ocr_data_html_files.zip,Yechezkel Livshitz,hamedrashvhamaasehbershit,haMedrash V'Hamaaseh Bershit
,Bible Commentaries,1929,hamedrashvhamaasehdvarim,Piotrkow,https://files.dicta.org.il/hamedrashvhamaasehdvarim/hamedrashvhamaasehdvarim__text_files.zip,,"מפרשי תנ""ך",ספריית דיקטה,"ליבשיץ, יחזקאל בן הילל אריה ליב",פיוטרקוב,המדרש והמעשה דברים,https://files.dicta.org.il/hamedrashvhamaasehdvarim/hamedrashvhamaasehdvarim__nikud_meteg_files.zip,https://files.dicta.org.il/hamedrashvhamaasehdvarim/hamedrashvhamaasehdvarim__ocr_data_html_files.zip,Yechezkel Livshitz,hamedrashvhamaasehdvarim,haMedrash V'Hamaaseh Dvarim
,Bible Commentaries,1906,hamedrashvhamaasehshemot,Piotrkow,https://files.dicta.org.il/hamedrashvhamaasehshemot/hamedrashvhamaasehshemot__text_files.zip,,"מפרשי תנ""ך",ספריית דיקטה,"ליבשיץ, יחזקאל בן הילל אריה ליב",פיוטרקוב,המדרש והמעשה שמות,https://files.dicta.org.il/hamedrashvhamaasehshemot/hamedrashvhamaasehshemot__nikud_meteg_files.zip,https://files.dicta.org.il/hamedrashvhamaasehshemot/hamedrashvhamaasehshemot__ocr_data_html_files.zip,Yechezkel Livshitz,hamedrashvhamaasehshemot,haMedrash V'Hamaaseh Shemot
,Bible Commentaries,1910,hamedrashvhamaasehvaykra,Piotrkow,https://files.dicta.org.il/hamedrashvhamaasehvaykra/hamedrashvhamaasehvaykra__text_files.zip,,"מפרשי תנ""ך",ספריית דיקטה,"ליבשיץ, יחזקאל בן הילל אריה ליב",פיוטרקוב,המדרש והמעשה ויקרא,https://files.dicta.org.il/hamedrashvhamaasehvaykra/hamedrashvhamaasehvaykra__nikud_meteg_files.zip,https://files.dicta.org.il/hamedrashvhamaasehvaykra/hamedrashvhamaasehvaykra__ocr_data_html_files.zip,Yechezkel Livshitz,hamedrashvhamaasehvaykra,haMedrash V'Hamaaseh Vaykra
,Derashot,1912,hanaharielbamidbar,Berdichev,https://files.dicta.org.il/hanaharielbamidbar/hanaharielbamidbar__text_files.zip,,דרשות,ספריית דיקטה,"אפשטיין, יצחק אייזיק בן מרדכי הלוי",ברדיטשוב,חנה אריאל במדבר,https://files.dicta.org.il/hanaharielbamidbar/hanaharielbamidbar__nikud_meteg_files.zip,https://files.dicta.org.il/hanaharielbamidbar/hanaharielbamidbar__ocr_data_html_files.zip,Yitzhak Isaac Epstein,hanaharielbamidbar,Hanah Ariel Bamidbar
,Derashot,1912,hanaharielbershit,Berdichev,https://files.dicta.org.il/hanaharielbershit/hanaharielbershit__text_files.zip,,דרשות,ספריית דיקטה,"אפשטיין, יצחק אייזיק בן מרדכי הלוי",ברדיטשוב,חנה אריאל בראשית,https://files.dicta.org.il/hanaharielbershit/hanaharielbershit__nikud_meteg_files.zip,https://files.dicta.org.il/hanaharielbershit/hanaharielbershit__ocr_data_html_files.zip,Yitzhak Isaac Epstein,hanaharielbershit,Hanah Ariel Bershit
,Derashot,1912,hanaharieldvarim,Berdichev,https://files.dicta.org.il/hanaharieldvarim/hanaharieldvarim__text_files.zip,,דרשות,ספריית דיקטה,"אפשטיין, יצחק אייזיק בן מרדכי הלוי",ברדיטשוב,חנה אריאל דברים,https://files.dicta.org.il/hanaharieldvarim/hanaharieldvarim__nikud_meteg_files.zip,https://files.dicta.org.il/hanaharieldvarim/hanaharieldvarim__ocr_data_html_files.zip,Yitzhak Isaac Epstein,hanaharieldvarim,Hanah Ariel Dvarim
,Derashot,1912,hanaharielshemot,Berdichev,https://files.dicta.org.il/hanaharielshemot/hanaharielshemot__text_files.zip,,דרשות,ספריית דיקטה,"אפשטיין, יצחק אייזיק בן מרדכי הלוי",ברדיטשוב,חנה אריאל שמות,https://files.dicta.org.il/hanaharielshemot/hanaharielshemot__nikud_meteg_files.zip,https://files.dicta.org.il/hanaharielshemot/hanaharielshemot__ocr_data_html_files.zip,Yitzhak Isaac Epstein,hanaharielshemot,Hanah Ariel Shemot
