title,PubDate,pubPlace,compPlace,compDate,heShortDesc,order,heDesc
"לב שלם על משנה תורה, הלכות ציצית", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות תפילה וברכת כהנים", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות מאכלות אסורות", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות איסורי ביאה", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות שחיטה", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות עבודה זרה וחוקות הגויים", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות יסודי התורה", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות תשובה", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות תלמוד תורה", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות גירושין", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות יבום וחליצה", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות אישות", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות נערה בתולה", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות סוטה", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות תעניות", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות חמץ ומצה", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות שביתת יום טוב", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות שבת", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות קידוש החודש", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות מגילה וחנוכה", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"לב שלם על משנה תורה, הלכות שקלים", (1773 לספירה),אמסטרדם,אמסטרדם, (1757 – 1773 לספירה בקירוב),,,"הגהות, חידושים ומראי מקומות לדברי הרמב""ם מתוך שלש מאות שלושים ושמונה ספרים יקרי ערך."
"מעשי למלך על משנה תורה, הלכות ביאת מקדש", (1913 לספירה),ואץ,ואץ, (1897 – 1913 לספירה בקירוב),,,
"מעשי למלך על משנה תורה, הלכות מעשה הקרבנות", (1913 לספירה),ואץ,ואץ, (1897 – 1913 לספירה בקירוב),,,
"מעשי למלך על משנה תורה, הלכות בית הבחירה", (1913 לספירה),ואץ,ואץ, (1897 – 1913 לספירה בקירוב),,,
"מעשי למלך על משנה תורה, הלכות איסורי המזבח", (1913 לספירה),ואץ,ואץ, (1897 – 1913 לספירה בקירוב),,,
"מעשי למלך על משנה תורה, הלכות כלי המקדש והעובדין בו", (1913 לספירה),ואץ,ואץ, (1897 – 1913 לספירה בקירוב),,,
מעשה רקח על הלכות ברכות, (1742 – 1743 לספירה),ונציה,"טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות מילה, (1742 – 1743 לספירה),ונציה,"טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות ציצית, (1742 – 1743 לספירה),ונציה,"טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות תפילה וברכת כהנים, (1742 – 1743 לספירה),ונציה,"טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות קריאת שמע, (1742 – 1743 לספירה),ונציה,"טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות תפילין ומזוזה וספר תורה, (1742 – 1743 לספירה),ונציה,"טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות ביאת מקדש, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות תמידין ומוספין, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות פסולי המוקדשין, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות מעשה הקרבנות, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות עבודת יום הכפורים, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות בית הבחירה, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות איסורי מזבח, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות מעילה, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות כלי המקדש, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות ערכין וחרמין, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות נזירות, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות שבועות, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות נדרים, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות מאכלות אסורות, (1862 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות איסורי ביאה, (1862 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות שחיטה, (1862 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות זכיה ומתנה, (1964 לספירה),"ירושלים, ישראל","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות מכירה, (1964 לספירה),"ירושלים, ישראל","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות חגיגה, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות בכורות, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות מחוסרי כפרה, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות שגגות, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות קרבן פסח, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות תמורה, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות עבודת כוכבים, (1742 לספירה),ונציה,"טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות יסודי התורה, (1742 – 1743 לספירה),ונציה,"טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות דעות, (1742 – 1743 לספירה),ונציה,"טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות תשובה, (1742 – 1743 לספירה),ונציה,"טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות תלמוד תורה, (1742 – 1743 לספירה),ונציה,"טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות גירושין, (1862 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות יבום וחליצה, (1862 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות אישות, (1862 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות נערה בתולה, (1862 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות סוטה, (1862 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות נזקי ממון, (1863 לספירה),"ליבורנו, איטליה","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות רוצח ושמירת הנפש, (1964 לספירה),"ירושלים, ישראל","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות חובל ומזיק, (1964 לספירה),"ירושלים, ישראל","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
מעשה רקח על הלכות גזילה ואבידה, (1964 לספירה),"ירושלים, ישראל","טריפולי, לוב", (1718 – 1742 לספירה בקירוב),,,"פירוש על משנה תורה להרמב""ם מהרב מסעוד חי רקח. בתחילת הספר הוסיף פירושים על הרמב""ם ממספר ראשונים, ובראשם ר' אברהם בן הרמב""ם. חידושי הרב רקח מגיעים עד לאמצע ספר קנין, ומשם ואילך יש חידושים של חתנו ר' נתן אדאדי מחבר הספר ""נתן מאורות""."
